MEM = MEAN
TIME = 160212/0000
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.304

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
71.8368583679,18337.6740234,-59.7383201599,-80.4478607178,24.1591454506,-13.3813236237,-999.0
63.2380939484,19137.1064453,-58.5430484772,-80.4478607178,20.8612177849,-9.41661486626,-999.0
54.564799118,20074.103125,-57.78123703,-80.4478607178,17.5181898594,-5.77136306763,-999.0


MEM = MEAN
TIME = 160212/0600
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 383.85

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
977.051916504,383.849850464,8.00310993195,0.800033643842,-1.46432892904,0.0660257533193,-999.0
969.345227051,449.411801147,9.57580347061,-0.265569738299,-2.67104358077,1.58290987313,-999.0
959.075482178,537.903863525,10.1263033867,-0.601731877774,0.744241164997,1.38961275294,-999.0
946.024157715,651.897399902,10.6617292404,-1.10882469118,5.71845805645,0.202840923518,-999.0
929.920098877,795.150256348,11.4874929428,-3.3365704298,10.2614690304,-2.57888152599,-999.0
910.401928711,972.571002197,12.2550413132,-6.39217233658,11.3557847023,-7.63960545063,-999.0
887.078192139,1189.85043945,12.1336761475,-8.26085577011,10.6304427624,-11.91236763,-999.0
859.585394287,1452.76707764,10.9678322792,-10.2706039429,10.4745334625,-16.5211737633,-999.0
827.978204346,1763.90883789,9.05362081528,-12.3254430771,11.2684612751,-19.9751995087,-999.0
792.68069458,2122.94934082,6.66793951988,-13.8542251587,13.0446961403,-21.3912801743,-999.0
754.162969971,2529.83476562,4.09761667252,-15.4080761909,16.2333785057,-21.8867034912,-999.0
712.923675537,2984.92670898,1.48726706505,-15.7016683578,20.6307071686,-21.8763664246,-999.0
669.483544922,3488.52749023,-1.58073544502,-15.2595928192,24.6104078293,-23.0086437225,-999.0
624.39442749,4040.56247559,-4.92870812416,-16.2826641083,28.2049530029,-25.9764404297,-999.0
579.380053711,4625.1515625,-8.23722395897,-19.7378379822,31.1302574158,-27.7609479904,-999.0
536.465557861,5218.08891602,-11.9905697823,-23.5629552841,33.390460968,-28.6749504089,-999.0
496.16652832,5810.53486328,-16.2399875641,-26.342064476,35.3140476227,-29.8358034134,-999.0
458.353359985,6401.66513672,-20.7995258331,-29.2413671494,35.968870163,-32.1476213455,-999.0
422.893792725,6991.03203125,-25.5764263153,-33.0756664276,35.233813858,-35.0424045563,-999.0
